Vertical,valid_from,valid_to,ally_name,policy_name,use_pre_approved_cupo,pd_model_multiplier,pd_model,pd_model_fallback,other_pd_models_to_run,secondary_policy_name,secondary_pd_model,PD_Multiplier_ally,Hardcoded_policy,SMB,,,,,,,,
SPORTS AND ACCESSORIES,,,benellibike-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,betigo-online,rejection_policy_pago,FALSE,13,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bicicletasdelasabana-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bicicletassoneg-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bicifit-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bicifit-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bicisports-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikefactory-online,rejection_policy_pago,FALSE,8,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikehouse-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikehousemanizales-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikener-online,rejection_policy_pago,FALSE,8,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikersparadise-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikeshopmanizales-online,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,rejection_policy_pago,-,0,,,,,#N/A,,
